Tevin,Tevout,Psuc,Pdes,Vazao,DeltaP,Cap,Pot,Deltad,COP,Classe
3.73,-0.64,2.6,10.9,175.44,8.2,22.5,138.32,-0.85,6.39,2
3.85,-0.28,2.71,10.97,173.85,8.3,22.5,139.72,-0.95,5.92,2
3.91,-0.23,2.91,11.0,197.53,8.2,22.5,141.16,-1.01,6.67,2
3.9,-0.23,2.82,11.0,217.1,8.1,22.5,140.84,-1.01,7.33,2
3.89,-0.2,2.86,11.0,218.26,8.2,22.5,138.9,-0.98,7.41,2
3.87,-0.24,2.88,10.97,219.92,8.1,22.5,139.84,-1.01,7.45,2
3.85,-0.3,2.85,10.9,219.27,7.9,22.5,140.58,-0.98,7.47,2
3.84,-0.3,2.85,10.9,219.13,8.1,22.5,139.94,-1.04,7.48,2
3.85,-0.3,2.84,10.9,219.14,8.0,22.5,139.24,-0.96,7.54,2
3.83,-0.36,2.89,10.9,219.15,8.1,22.5,140.22,-0.92,7.56,2
3.79,-0.44,2.9,10.9,217.12,8.1,22.5,141.7,-0.99,7.48,2
3.76,-0.51,2.86,10.9,214.06,8.1,22.5,138.71,-0.97,7.6,2
3.7,-0.63,2.86,10.9,218.6,8.0,22.5,139.12,-0.93,7.85,2
3.64,-0.76,2.85,10.86,219.19,8.2,22.5,138.66,-0.92,8.03,2
3.59,-0.94,2.88,10.8,220.13,7.9,22.5,138.08,-0.82,8.32,2
3.51,-1.17,2.78,10.8,219.04,7.9,22.5,138.96,-0.81,8.52,2
3.51,-1.26,2.71,10.8,183.64,8.1,22.5,138.9,-0.67,7.27,2
3.56,-1.16,2.65,10.8,172.38,8.2,22.5,138.27,-0.66,6.78,2
3.62,-1.05,2.66,10.82,174.34,8.2,22.5,138.16,-0.85,6.8,2
3.68,-0.97,2.71,10.83,175.27,8.2,22.5,138.55,-0.87,6.78,2
3.72,-0.9,2.74,10.9,175.05,8.2,22.5,139.72,-0.85,6.68,2
3.78,-0.81,2.72,10.9,175.31,8.1,22.5,139.46,-0.87,6.65,2
3.84,-0.64,2.64,10.9,174.87,8.3,22.5,140.04,-0.76,6.44,2
3.91,-0.39,2.7,10.9,172.87,8.2,22.5,139.94,-0.69,6.13,2
3.98,-0.21,2.83,10.99,174.65,8.2,22.5,140.36,-0.74,6.01,2
3.98,-0.24,2.94,11.0,199.53,8.2,22.5,140.35,-0.79,6.91,2
